stid,name,city,nlat,elon,datc,datd
PUTN,Putnam,Putnam,35.89904,-98.96038,19940101,20991231
REDR,Red Rock,Red Rock,36.3559,-97.15306,19940101,20991231
RETR,Retrop,Willow,35.12275,-99.36001,19940101,20991231
RING,Ringling,Ringling,34.19365,-97.58812,19940101,20991231
SALL,Sallisaw,Sallisaw,35.43815,-94.79805,19940101,20991231
SEIL,Seiling,Seiling,36.19033,-99.0403,19940101,20991231
SHAW,Shawnee,Shawnee,35.36492,-96.94822,19940101,20991231
SKIA,Skiatook,Skiatook,36.4153,-96.03706,19940101,20991231
SLAP,Slapout,Slapout,36.59749,-100.26192,19940101,20991231
SPEN,Spencer,Spencer,35.54208,-97.34146,19940101,20991231
STIG,Stigler,Stigler,35.26527,-95.18116,19940101,20991231
STIL,Stillwater,Stillwater,36.12093,-97.09527,19940101,20991231
STUA,Stuart,Stuart,34.87642,-96.06982,19940101,20991231
SULP,Sulphur,Sulphur,34.5661,-96.95048,19940101,20991231
TAHL,Tahlequah,Tahlequah,35.97235,-94.98671,19940101,20991231
TALA,Talala,Talala,36.57431,-95.74515,20140922,20991231
TALI,Talihina,Talihina,34.7107,-95.01152,19940101,20991231
TIPT,Tipton,Tipton,34.43972,-99.13755,19940101,20991231
TISH,Tishomingo,Tishomingo,34.33262,-96.67895,19940101,20991231
TULL,Tullahassee,Tullahassee,35.8397,-95.4133,19940101,19991104
TULN,Tulsa,Tulsa,36.19666,-95.93883,20130626,20991231
VANO,Vanoss,Vanoss,34.79146,-96.84381,19980617,20121101
VINI,Vinita,Centralia,36.77536,-95.22094,19940101,20991231
WAL2,Walters,Walters,34.39957,-98.34569,20120314,20991231
WALT,Walters,Walters,34.3647,-98.32025,19940101,20120313
WASH,Washington,Washington,34.98224,-97.52109,19940101,20991231
WATO,Watonga,Watonga,35.84185,-98.52615,19940101,20991231
WAUR,Waurika,Waurika,34.16775,-97.98815,19940101,20991231
WEAT,Weatherford,Weatherford,35.5083,-98.77509,19940101,20991231
WEBB,Webbers Falls,Webbers Falls,35.47298,-95.13209,19940101,20080416
WEBR,Webbers Falls,Webbers Falls,35.489,-95.1233,20080417,20991231
WEST,Westville,Westville,36.011,-94.64496,19940101,20991231
WILB,Wilburton,Wilburton,34.90092,-95.34805,19940101,20991231
WIST,Wister,Wister,34.98426,-94.68778,19940101,20991231
WOOD,Woodward,Woodward,36.42329,-99.41682,19940101,20991231
WYNO,Wynona,Wynona,36.51806,-96.34222,19940101,20991231
